current,replaceWith
boroninhibitor,inhibitor
calciumchloride,inhibitor
calciumnitratesolution,inhibitor
carbonateremoval,inhibitor
caustic,inhibitor
cementaccelerators,inhibitor
cementclean-up,inhibitor
chelatingagent,inhibitor
chelatingagentscaleinhibitor,inhibitor
chelator,inhibitor
chemicalacidretarder,inhibitor
chlorinedioxide,inhibitor
clayinhibitor,inhibitor
clayinhibitoradditive,inhibitor
combination/ironcontrol,inhibitor
corosioninhibitor,inhibitor
corosioninhibitor-acid,inhibitor
corossioninhibitor,inhibitor
corriosioninhibitor,inhibitor
corrisioninhibitor,inhibitor
corrisoninhibitor,inhibitor
corrosianinhibitor,inhibitor
corrosininhibitor,inhibitor
corrosioininhibitor,inhibitor
corrosion,inhibitor
corrosion/scaleinhibitor,inhibitor
corrosionandscaleinhibitor,inhibitor
corrosionandscaleprevention,inhibitor
corrosioncontrol,inhibitor
corrosioniinhibitor,inhibitor
corrosioninhib,inhibitor
corrosioninhibbitor,inhibitor
corrosioninhibiot,inhibitor
corrosioninhibiter,inhibitor
corrosioninhibition,inhibitor
corrosioninhibitior,inhibitor
corrosioninhibitor,inhibitor
"corrosioninhibitor,ironcontrolagent",inhibitor
"corrosioninhibitor,ironcontrolagent,acid,proppant-natural",inhibitor
"corrosioninhibitor,scaleinhibitor",inhibitor
corrosioninhibitor.,inhibitor
corrosioninhibitor/ironcontrol,inhibitor
corrosioninhibitor/surfactant,inhibitor
corrosioninhibitorforacid,inhibitor
corrosioninhibitorforhcl,inhibitor
corrosioninhibitorforhclacid,inhibitor
corrosioninhibitorforhydrochloricacid,inhibitor
corrosioninhibitor-hcl,inhibitor
corrosioninhibitorintensifier,inhibitor
corrosioninhibitors,inhibitor
corrosioninhibtor,inhibitor
corrosioninhinitor,inhibitor
corrosionscaleinhibitor,inhibitor
corrosionscaleinhibitorblend,inhibitor
corrosive,inhibitor
corrsioninhibitor,inhibitor
delayedxl,inhibitor
dissolveminerals,inhibitor
dissolvescement&mineralsinperforations,inhibitor
downholecrossioninhibitor,inhibitor
encapsulatedoxidizer,inhibitor
"etching,dissolving,cleaning",inhibitor
"etching,dissolvingorironcontrol",inhibitor
etchingagent,inhibitor
fecontrol,inhibitor
"fesreducer,.h2sscavenger",inhibitor
"fesreducer,h2sscavenger",inhibitor
flakesforperforationdiversion,inhibitor
fracturingscaleinhibitor,inhibitor
fracturingscaleinhibitor/bacteriaaid,inhibitor
h2s/corrosioninhibitor,inhibitor
h2scorrosioninhibitor,inhibitor
h2sscaleinhibitor,inhibitor
h2sscavenger,inhibitor
hydrochloricacidadditive/corrosioninhibitor,inhibitor
hydrogensulfidescavenger,inhibitor
inhibitacid,inhibitor
inhibititor,inhibitor
inhibitor,inhibitor
inhibitoraid,inhibitor
inhibitorintensifier,inhibitor
inhiubitoraid,inhibitor
ironchelater,inhibitor
ironchelatingagent,inhibitor
ironchelation,inhibitor
ironchelator,inhibitor
ironcompexingagent,inhibitor
ironcomplexingagent,inhibitor
ironconrol,inhibitor
ironcontralagent,inhibitor
ironcontril,inhibitor
ironcontrol,inhibitor
ironcontrol(acetic)10%orless,inhibitor
ironcontrol(sod.erythorbate),inhibitor
"ironcontrol,corrosioninhibitor",inhibitor
"ironcontrol,reducingagent",inhibitor
ironcontrol/chelatingagent,inhibitor
ironcontrol/phbuffer,inhibitor
ironcontrol/reducers,inhibitor
ironcontrolacent-acid,inhibitor
ironcontroladditive,inhibitor
ironcontroladditives,inhibitor
ironcontrolagen,inhibitor
ironcontrolagent,inhibitor
ironcontrolagent-acid,inhibitor
ironcontrolagents,inhibitor
ironcontrolforacid,inhibitor
ironcontrolforhclacid,inhibitor
ironcontroller,inhibitor
ironcontroller/reducers,inhibitor
ironcorossion,inhibitor
ironcotrol,inhibitor
ironctrl,inhibitor
ironinhibitor,inhibitor
ironoxidedissolver,inhibitor
ironreducer,inhibitor
ironreducingagent,inhibitor
ironreducingagent/oxygenscavenger,inhibitor
ironreduction,inhibitor
ironsequesteor,inhibitor
ironsequesterant,inhibitor
ironsequestering,inhibitor
ironsequesteringagent,inhibitor
ironsequestrant,inhibitor
ironsequestrerant,inhibitor
ironstabilizer,inhibitor
ironstabilizerl58,inhibitor
ironsulfidecontrol/bio,inhibitor
ironsulfidereducer,inhibitor
ironsulfidescavenger,inhibitor
ironswquesterant,inhibitor
kclsubstitute,inhibitor
liquidacidironcontrol,inhibitor
liquidkclreplacement,inhibitor
liquidscaleinhibitor,inhibitor
"liveculture-nitratereducingbacteria,scaleinhibitor",inhibitor
metalbinder,inhibitor
metalfinisher,inhibitor
nitratereducingbacteria&scaleinhibitor,inhibitor
non-ionicemulsionpreventer,inhibitor
oilfieldscaleinhibitor,inhibitor
organicacidinhibitor,inhibitor
oxidation,inhibitor
oxidizer,inhibitor
oxidizer/disenfectant,inhibitor
oxidizerforoil&gaswells,inhibitor
oxidizingagent,inhibitor
oxidizingagent/chlorinedioxidegeneration,inhibitor
oxidizingagent:forindustrialuse,inhibitor
oxygensavenger,inhibitor
oxygenscavanger,inhibitor
oxygenscavenger,inhibitor
oxygenscvanger,inhibitor
paraffin&scaleadditives,inhibitor
paraffin&scaleinhibitor,inhibitor
paraffinandscaleadditives,inhibitor
paraffininhibitor,inhibitor
paraffininhibitor/dispersant,inhibitor
paraffininhibitors,inhibitor
paraffininibitor,inhibitor
paraffininihitor,inhibitor
paraffinscaleadditives,inhibitor
paraffinsolventsandinhibitors,inhibitor
parafininhibitor,inhibitor
parafininihibitor,inhibitor
parrafininhibitor,inhibitor
"petrochemicalindustry:oilwellacidizing,ironsequesterant",inhibitor
phosphonatescaleinhibator,inhibitor
phosphonatescaleinhibitor,inhibitor
polyacrylatescaleinhibitor,inhibitor
polycarboxylicacidscaleinhibitor,inhibitor
polymericscaleinhibitor,inhibitor
polymerscaleinhibitor,inhibitor
potassiummetaborate,inhibitor
preventh2sformation,inhibitor
preventprecipofironsludges,inhibitor
preventscaleformation,inhibitor
preventsironprecipitation,inhibitor
preventsscale,inhibitor
preventsscaledeposits,inhibitor
processcorrosioninhibitor,inhibitor
protectscasing,inhibitor
protectssteel,inhibitor
reduceiron/scale,inhibitor
reducingagent,inhibitor
removecementdamage,inhibitor
removesandpreventsparaffin,inhibitor
resintackifier,inhibitor
sacleinhibitor,inhibitor
safecaustic,inhibitor
saleinhibitor,inhibitor
saltinhibitor,inhibitor
scale,inhibitor
scale/corrosioninhibitor,inhibitor
scale/h2sscavenger,inhibitor
scale/paraffininhibitor,inhibitor
scalecheck,inhibitor
scalecontrol,inhibitor
scalecontroladditive,inhibitor
"scaleconverters,solvents,andinhibitors",inhibitor
scaleconvertersandinhibitors,inhibitor
scalecorrosioninhibitor,inhibitor
scaledissolver,inhibitor
scaleguard,inhibitor
scaleihibitor,inhibitor
scaleiinhibitor,inhibitor
scaleinbhitor,inhibitor
scaleinhbitor,inhibitor
scaleinhibator,inhibitor
scaleinhibiitor,inhibitor
scaleinhibition,inhibitor
scaleinhibitor,inhibitor
"scaleinhibitor
",inhibitor
scaleinhibitor(08/14/2020-08/24/2020),inhibitor
scaleinhibitor(08/14/2020-09/23/2020),inhibitor
scaleinhibitor(avalonwells),inhibitor
scaleinhibitor(proprietaryblend),inhibitor
scaleinhibitor(solid),inhibitor
scaleinhibitor(winterblend),inhibitor
"scaleinhibitor,additive",inhibitor
"scaleinhibitor,dry",inhibitor
scaleinhibitor/ironchelant,inhibitor
scaleinhibitor/ironcontrol,inhibitor
scaleinhibitor0,inhibitor
scaleinhibitora,inhibitor
scaleinhibitorblend,inhibitor
scaleinhibitorintermediate,inhibitor
scaleinhibitors,inhibitor
scaleinhibtor,inhibitor
scaleinhiibitor,inhibitor
scaleinhiitor,inhibitor
scaleinhinitor,inhibitor
scaleinhitbitor,inhibitor
scaleinibitor,inhibitor
scaleinihibitor,inhibitor
scaleparaffininhibitor,inhibitor
scalepreventative,inhibitor
scalepreventer,inhibitor
scalereducer,inhibitor
scaleremoval,inhibitor
scaleremover,inhibitor
scalestop,inhibitor
scalestoppoly,inhibitor
scalesurf,inhibitor
scalingagent,inhibitor
scalingbuildupreduction,inhibitor
scalinginhibitor,inhibitor
scalinhibitor,inhibitor
scavenger,inhibitor
scidcorrosioninhibitor,inhibitor
sclaeinhibitor,inhibitor
sequesteringagent,inhibitor
shalecontrol,inhibitor
shaleinhibitor,inhibitor
soldiumnitratebrine,inhibitor
solidh2sscavenger,inhibitor
solidironchelator,inhibitor
solidscaleinhibitor,inhibitor
solidsinhibition,inhibitor
specialcorrosioninhibitor,inhibitor
speicalparaffininhibitor,inhibitor
surfactant-acidinhibitor,inhibitor
thirdpartyscaleinhibitor,inhibitor
traceablepolymerscaleinhibitor,inhibitor
watertreatement/corrosioninhibitor,inhibitor
watertreatment/corrosion,inhibitor
watertreatment/corrosioninhibitor,inhibitor
watertreatment/corrosioninjibitor,inhibitor
welscal,inhibitor
wettingagent,inhibitor
"acid,activator,breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,proppant-natural,proppant-resincoated",multi
"acid,anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,scaleinhibitor,proppant-natural",multi
"acid,anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,phadjustingagent,scaleinhibitor,proppant-natural",multi
"acid,anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,proppant-natural",multi
"acid,anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,scaleinhibitor,proppant-natural",multi
"acid,anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,proppant-natural",multi
"acid,biocide,breaker,buffer,crosslinker,frictionreducer,proppant,additive,biocide,surfactant,acidinhibitor,surfactant",multi
"acid,biocide,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,non-ionicsurfactant,proppant",multi
"acid,biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant",multi
"acid,biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,biocide",multi
"acid,biocide,corrosioninhibitor,frictionreducer,proppant,surfactant",multi
"acid,breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,proppant-natural",multi
"acid,breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,proppant-natural,proppant-resincoated",multi
"acid,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,proppant-natural",multi
"acid,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,proppant-natural",multi
"acid,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,proppant-natural",multi
"acid,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,proppant-natural",multi
"acid,breaker,corrosioninhibitor,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,proppant-natural",multi
"acid,breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,proppant-natural",multi
"acid,breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,proppant-natural",multi
"acid,corrosioninhibitor,frictionreducer,gellingagent,proppant-natural",multi
"acid,corrosioninhibitor,frictionreducer,non-ionicsurfactant,biocide",multi
"acid,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant",multi
"acid,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,biocide",multi
"acid,corrosioninhibitor,frictionreducer,proppant,surfactant",multi
"acid,frictionreducer,proppant,biocide,corrosioninhibitor,surfactant",multi
"acid.biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,solvent",multi
"acidcorrosioninhibitor,frictionreducer,claycontrol,cleanperforations",multi
"acidcorrosioninhibitor,frictionreducer,claycontrol,non-emulsifier,cleanperforations,",multi
"acidcorrosioninhibitor,frictionreducer,cleanperforations",multi
"acidcorrosioninhibitor,frictionreducer,cleanperforations,",multi
"acidcorrosioninhibitor,frictionreducer,surfactant,cleanperforations,biocide",multi
"acidcorrosioninhibitor,ironcontrol,antisludge,non-emulsifier",multi
"activator,bactericide(tolcideps20a),aqucardb5watertreatmentmicrobiocide-b362,foamingagent,breaker,gellingagent,crosslinker,frictionreducer,multifunctionaladditive,proppingagent",multi
"activator,biocide,breaker,buffer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,non-ionicsurfactant,proppant,solvent",multi
"activator,biocide,breaker,buffer,crosslinker,frictionreducer,gellingagent,proppant,viscosifier,surfactant,biocide",multi
"additive,biocide,breaker,concentrate,conductivityenhancer,crosslinker,frictionreducer,gellingagent,phcontroladditive,proppant,",multi
"additive,biocide,breaker,concentrate,corrosioninhibitor,gellingagent,proppant,surfactant,frictionreducer",multi
"additive,biocide,breaker,concentrate,crosslinker,frictionreducer,gellingagent,microbiocide,phcontroladditive,proppant",multi
"additive,biocide,breaker,concentrate,frictionreducer,gellingagent,initiator,phcontroladditive,proppant,surfactant",multi
"additive,biocide,breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant",multi
"additive,biocide,breaker,crosslinker,gellingagent,microbiocide,non-ionicsurfactant,phcontroladditive,proppant",multi
"additive,biocide,concentrate,corrosioninhibitor,proppant,surfactant,frictionreducer",multi
"additive,biocide,concentrate,corrosioninhibitor,surfactant,proppant,frictionreducer",multi
"additive,biocide,concentrate,proppant,surfactant,frictionreducer",multi
"additive,biocide,surfactant",multi
"additive,breaker,conc,frictionreducer,liquidgelconc,liveculture-nitratereducbacteria,proppant,scaleinhibitor,solvent",multi
"additive,breaker,conc,frictionreducer,liquidgelconc,liveculture-nitratereducbacteria,proppant,scaleinhibitor,solvent,viscosifier",multi
"additive,breaker,concentrate,corrosioninhibitor,frictionreducer,gellingagent,phcontroladditive,proppant",multi
"additive,breaker,concentrate,corrosioninhibitor,frictionreducer,gellingagent,surfactant,acid",multi
"additive,breaker,concentrate,corrosioninhibitor,gellingagent,proppant,surfactant,frictionreducer,acid",multi
"additive,breaker,concentrate,crosslinker,frictionreducer,gellingagent,phcontroladditive,proppant,surfactant",multi
"additive,breaker,concentrate,crosslinker,frictionreducer,gellingagent,phcontroladditive,surfactant",multi
"additive,breaker,concentrate,crosslinker,frictionreducer,gellingagent,proppant,surfactant,viscosifier",multi
"additive,breaker,concentrate,crosslinker,gellingagent,proppant,solvent,surfactant,viscosifier,frictionreducer",multi
"additive,breaker,concentrate,crosslinker,gellingagent,proppant,surfactant,viscosifier,frictionreducer",multi
"additive,breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant",multi
"additive,breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant,viscosifier",multi
"additive,breaker,concentrate,frictionreducer,liquidgelconcentrate,liveculture-nitratereducingbacteria,proppant,scaleinhibitor,solvent",multi
"additive,breaker,concentrate,gellingagent,proppant,surfactant,claystabilizer",multi
"additive,breaker,corrosioninhibitor,gellingagent,proppant",multi
"additive,brine,liveculture-nitratereducingbacteria,proppant,scaleinhibitor,solvent",multi
"additive,concentrate,corrosioninhibitor,frictionreducer,proppant,surfactant",multi
"additive,concentrate,corrosioninhibitor,frictionreducer,proppant,surfactant,acid",multi
"additive,concentrate,corrosioninhibitor,frictionreducer,surfactant,proppingagent,acid",multi
"additive,concentrate,corrosioninhibitor,proppant,surfactant,claycontrol,frictionreducer",multi
"additive,concentrate,corrosioninhibitor,proppant,surfactant,frictionreducer",multi
"additive,concentrate,corrosioninhibitor,proppant,surfactant,frictionreducer,acid",multi
"additive,concentrate,corrosioninhibitor,surfactant,frictionreducer,proppant",multi
"additive,concentrate,frictionreducer,gellingagent,proppant,surfactant",multi
"additive,concentrate,frictionreducer,proppant,surfactant",multi
"additive,corrosioninhibitor,frictionreducer,proppant,scaleinhibitor,surfactant",multi
"additive,divertingagent,fluidlossadditive,pluggingagent",multi
all-in-oneadditive,multi
"anti-bacterialagent,breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,nonemulsifier,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,flowbackcontroladditive,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural,proppant-resincoated",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,northernwhitesand,100meshsand",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,nonemulsifier,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,nonemulsifier,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural,proppant-resincoated",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-nautral",multi
"anti-bacterialagent,breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppnat-natural",multi
"anti-bacterialagent,breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,surfactant,acid",multi
"anti-bacterialagent,breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural,proppant-resincoated",multi
"anti-bacterialagent,breaker,corrosioninhibitor,frictionreducer,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"anti-bacterialagent,breaker,crosslinker,frictionreducer,gellingagent,kclsubstitute,surfactant,proppant-ceramic",multi
"anti-bacterialagent,claystabilizer,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"antifoamagent,surfactant,breaker,additive,gellingagent,crosslinker,proppingagent",multi
"antifoamagent,surfactant,breaker,gellingagent,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(green-cide25g),surfactant,breaker,additive,gellingagent,crosslinker,antifoamagent,proppingagent",multi
"bactericide(green-cide25g),surfactant,breaker,additive,gellingagent,crosslinker,proppingagent",multi
"bactericide(green-cide25g),surfactant,breaker,gellingagent,crosslinker,scaleinhibitor,activator,emulsionpreventer,proppingagent,fluidlossadditive",multi
"bactericide(myacidega25),antifoamagent,surfactant,breaker,gellingagent,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),demulsifier,surfactant,breaker,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),demulsifier,surfactant,breaker,gellingagent,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,additive,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,additive,gellingagent,crosslinker,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,additive,gellingagent,frictionreducer,crosslinker,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,gellingagent,crosslinker,frictionreducer,activator,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,gellingagent,frictionreducer,claycontrolagent,antifoamagent,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,gellingagent,frictionreducer,claycontrolagent,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,gellingagent,frictionreducer,demulsifier,proppingagent",multi
"bactericide(myacidega25),surfactant,breaker,gellingagent,frictionreducer,proppingagent",multi
"basefluid,activator,biocide,breaker,buffer,corrosioninhibitor,crosslinker,diverter/fluidlossadditive,frictionreducer,gellingagent,surfactant,biocide",multi
"basefluid,biocide,breaker,crosslinker,frictionreducer,gellingagent,proppant",multi
"basefluid,biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant",multi
"basefluid,biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,biocide",multi
"basefluid,corrosioninhibitor,ironchelator,nonemulsifier,gellant,crosslinker,breaker,buffer,biocide,scaleinhibitor,proppant",multi
"basefluid,frictionreducer,ironcontrol,acidinhibitor,proppant",multi
"basefluid,frictionreducer,ironcontrol,nonemulsifier,acidinhibitor,proppant",multi
"basefluid,frictionreducer,surfactant,acidinhibitor,polymerbreaker,proppant",multi
"basefluid,frictionreducer,surfactant,biocide,claystablizer,ironchelator,gellant,crosslinker,acidinhibitor,buffer,polymerbreaker,proppant",multi
"basefluid,frictionreducer,surfactant,biocide,claystablizer,ironchelator,gellant,diverter,acidinhibitor,buffer,polymerbreaker,proppant",multi
"biocide,breaker,buffer,crosslinker,frictionreducer,gellingagent,proppant,biocide,surfactant",multi
"biocide,breaker,concentrate,corrosioninhibitor,gellingagent,initiator,ironcontrolagent,proppant,surfactant,frictionreducer",multi
"biocide,breaker,concentrate,frictionreducer,gellingagent,initiator,scalepreventer,surfactant,proppant",multi
"biocide,breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant",multi
"biocide,concentrate,frictionreducer,proppant,surfactant,claycontrol",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,acid",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,acid,biocide",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,additive,biocide",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,basefluid",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,basefluid,biocide",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,biocide",multi
"biocide,corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,solvent",multi
"biocide,corrosioninhibitor,frictionreducer,proppant,surfactant",multi
"biocide,divertingagent,surfactant",multi
"biocide,frictionreducer,proppant",multi
"biocide,frictionreducer,proppant,biocide",multi
"biocide,frictionreducer,proppant,biocide,acid,corrosioninhibitor,surfactant,breaker,gellingagent",multi
"biocide,frictionreducer,scaleinhibitor",multi
"biocide,scaleinhibitor,frictionreducer",multi
"biocide,scaleinhibitor,frictionreducers",multi
"breaker,buffer,concentrate,frictionreducer,gellingagent,initiator,proppant,surfactant",multi
"breaker,buffer,concentrate,gellingagent,initiator,proppant,surfactant",multi
"breaker,buffer,crosslinker,frictionreducer,gellingagent,proppant,surfactant,biocide,biocide",multi
"breaker,buffer,crosslinker,gellingagent,proppant,stabilizer,wettingagent",multi
"breaker,buffer,frictionreducer,gellingagent,proppant,surfactant",multi
"breaker,claycontrol,frictionreducer,proppant,surfactant",multi
"breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent",multi
"breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural,proppant-resincoated",multi
"breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,kclsubstitute,non-emulsifier,surfactant,acid,proppant-natural",multi
"breaker,claystabilizer,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,proppant-natural,proppant-resincoated",multi
"breaker,claystabilizer,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"breaker,concentrate,corrosioninhibitor,gellingagent,initiator,ironcontrolagent,proppant,surfactant,acid,frictionreducer",multi
"breaker,concentrate,corrosioninhibitor,gellingagent,initiator,ironcontrolagent,proppant,surfactant,frictionreducer",multi
"breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant",multi
"breaker,concentrate,frictionreducer,gellingagent,proppant,surfactant,claycontrol",multi
"breaker,concentrate,frictionreducer,proppant,surfactant",multi
"breaker,corrosioninhibitor,crosslinker,defoamingagent,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural,proppant-resincoated",multi
"breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-resincoated,proppant-natural",multi
"breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,ironcontrolagent,scaleinhibitor,acid,proppant-natural",multi
"breaker,corrosioninhibitor,crosslinker,frictionreducer,gellingagent,scaleinhibitor,acid,proppant-natural",multi
"breaker,corrosioninhibitor,defoamingagent,frictionreducer,gellingagent,ironcontrolagent",multi
"breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent",multi
"breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,non-emulsifier,phadjustingagent",multi
"breaker,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,proppant-natural",multi
"breaker,corrosioninhibitor,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"breaker,crosslinker,frictionreducer,gellingagent,acid,proppant-natural",multi
"breaker,frictionreducer,proppant,surfactant",multi
"carrier/basefluid,proppant,acidizing,corrosioninhibitor,breaker,gellingagent,ironcontrol",multi
"claycontrol,breaker,crosslinker,frictionreducer,gellingagent,proppant,surfactant",multi
"claystabilizer,corrosioninhibitor,flowbackcontroladditive,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"claystabilizer,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent",multi
"claystabilizer,corrosioninhibitor,frictionreducer,gellingagent,ironcontrolagent,acid,proppant-natural",multi
"claystabilizer,corrosioninhibitor,frictionreducer,ironcontrolagent",multi
"claystabilizer,corrosioninhibitor,frictionreducer,ironcontrolagent,acid,proppant-natural",multi
"claystabilizer,corrosioninhibitor,frictionreducer,ironcontrolagent,proppant-natural,proppant-resincoated",multi
"concentrate,frictionreducer,proppant,surfactant",multi
"concentrate,gellingagent,proppant,surfactant,frictionreducer",multi
