tox_cas_edf_id,tox_chemical_name,tox_references,tox_toxicity,tox_category
16561-29-8,PHORBOL MYRISTATE ACETATE,FOTH,respiratory,suspected
16561-29-8,PHORBOL MYRISTATE ACETATE,RTECS,gastrointestinal liver,suspected
16561-29-8,PHORBOL MYRISTATE ACETATE,RTECS,skin sense,suspected
16568-02-8,GYROMITRIN (ACETALDEHYDE METHYLFORMYLHYDRAZONE),P65,cancer,recognized
16605-91-7,"2,3-DICHLOROBIPHENYL (PCB-5)",P65-MC,cancer,recognized
16605-91-7,"2,3-DICHLOROBIPHENYL (PCB-5)",P65-MC,developmental,recognized
16606-02-3,"2,4',5-Trichlorobiphenyl",P65-MC,cancer,recognized
16606-02-3,"2,4',5-Trichlorobiphenyl",P65-MC,developmental,recognized
1663-39-4,"2-Propenoic acid, 1,1-dimethylethyl ester",HAZMAP,immunotoxicity,suspected
1663-39-4,"2-Propenoic acid, 1,1-dimethylethyl ester",HAZMAP,skin sense,suspected
16672-87-0,ETHEPHON,"DPR-CIP, RTECS",neurotoxicity,suspected
16672-87-0,ETHEPHON,RTECS,respiratory,suspected
16680-47-0,SODIUM EQUILIN SULFATE,NTP-C,cancer,suspected
16721-80-5,SODIUM HYDROSULFIDE,HARV,skin sense,suspected
1675-54-3,"2,2'-((1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXYMETHYLENE))BISOXIRA- N","EEC, HAZMAP",skin sense,suspected
1675-54-3,"2,2'-((1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXYMETHYLENE))BISOXIRA- N","EEC, HAZMAP, SNCI",immunotoxicity,suspected
1675-54-3,"2,2'-((1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXYMETHYLENE))BISOXIRA- N",RTECS,gastrointestinal liver,suspected
1675-54-3,"2,2'-((1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXYMETHYLENE))BISOXIRA- N",RTECS,neurotoxicity,suspected
16752-77-5,METHOMYL,"DAN, DPR-CIP, MASL, RTECS",neurotoxicity,suspected
16752-77-5,METHOMYL,HAZMAP,immunotoxicity,suspected
16752-77-5,METHOMYL,HAZMAP,skin sense,suspected
16752-77-5,METHOMYL,"JNIHS, KEIT, WWF",endocrine,suspected
16752-77-5,METHOMYL,RTECS,cardiovascular blood,suspected
16752-77-5,METHOMYL,RTECS,respiratory,suspected
1680-21-3,TRIETHYLENE GLYCOL DIACRYLATE,EEC,skin sense,suspected
1680-21-3,TRIETHYLENE GLYCOL DIACRYLATE,"EEC, SNCI",immunotoxicity,suspected
16842-03-8,"COBALT HYDROCARBONYL, AS CO",DAN,neurotoxicity,suspected
16842-03-8,"COBALT HYDROCARBONYL, AS CO",HAZMAP,cancer,suspected
16842-03-8,"COBALT HYDROCARBONYL, AS CO",HAZMAP,respiratory,suspected
16862-07-4,"2,4',5-TRICHLOROBIPHENYL (PCB-31)",P65-MC,cancer,recognized
16862-07-4,"2,4',5-TRICHLOROBIPHENYL (PCB-31)",P65-MC,developmental,recognized
1689-83-4,IOXYNIL,BRUC,endocrine,suspected
1689-83-4,IOXYNIL,RTECS,cardiovascular blood,suspected
1689-83-4,IOXYNIL,RTECS,gastrointestinal liver,suspected
1689-83-4,IOXYNIL,RTECS,neurotoxicity,suspected
1689-83-4,IOXYNIL,RTECS,respiratory,suspected
1689-84-5,BROMOXYNIL,OPP-CAN,cancer,suspected
1689-84-5,BROMOXYNIL,P65,developmental,recognized
1689-99-2,BROMOXYNIL OCTANOATE,P65,developmental,recognized
16938-22-0,"2,2,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE","EEC, EPA-TRI",respiratory,suspected
16938-22-0,"2,2,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE","EEC, SNCI",immunotoxicity,suspected
1694-09-3,BENZYL VIOLET 4B,P65,cancer,recognized
1698-60-8,CHLORIDAZON,EEC,immunotoxicity,suspected
1698-60-8,CHLORIDAZON,EEC,skin sense,suspected
1698-60-8,CHLORIDAZON,RTECS,cardiovascular blood,suspected
1698-60-8,CHLORIDAZON,RTECS,gastrointestinal liver,suspected
16984-48-8,FLUORIDE,OEHHA-CREL,musculoskeletal,suspected
16984-48-8,FLUORIDE,"OEHHA-CREL, RTECS",respiratory,suspected
16984-48-8,FLUORIDE,RTECS,gastrointestinal liver,suspected
16984-48-8,FLUORIDE,RTECS,kidney,suspected
16984-48-8,FLUORIDE,RTECS,neurotoxicity,suspected
17010-21-8,CADMIUM HEXAFLUOROSILICATE,P65-MC,cancer,recognized
17086-28-1,DOXYCYCLINE MONOHYDRATE (INTERNAL USE),P65,developmental,recognized
1717-00-6,"1,1-DICHLORO-1-FLUOROETHANE",RTECS,cardiovascular blood,suspected
1717-00-6,"1,1-DICHLORO-1-FLUOROETHANE",RTECS,neurotoxicity,suspected
17230-88-5,DANAZOL,P65,developmental,recognized
17230-88-5,DANAZOL,RTECS,gastrointestinal liver,suspected
17230-88-5,DANAZOL,RTECS,skin sense,suspected
17239-90-6,AT-217,P65-MC,cancer,recognized
1738-25-6,3-(DIMETHYLAMINO)-PROPANENITRILE,"KLAA, STAC",neurotoxicity,suspected
17428-41-0,ARSENIC V,P65-MC,cancer,recognized
17428-41-0,ARSENIC V,P65-MC,developmental,recognized
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","ATSDR, EPA-HEN, LADO, OEHHA-CREL, RTECS",cardiovascular blood,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","ATSDR, NAP",immunotoxicity,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","BKH, BRUC, IL-EPA, JNIHS, KEIT, OEHHA-CREL, RTECS, WWF",endocrine,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","EPA-HEN, HAZMAP, KLAA, RTECS",skin sense,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","EPA-HEN, LADO, OEHHA-CREL, RTECS, ZIMM",gastrointestinal liver,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","MERCK, RTECS",kidney,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",OEHHA-CREL,reproductive,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","OEHHA-CREL, RTECS",respiratory,suspected
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",P65,cancer,recognized
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",P65,developmental,recognized
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",STAC,neurotoxicity,suspected
1746-81-2,Monolinuron,HAZMAP,cardiovascular blood,suspected
17466-45-4,PHALLOIDIN,KLAA,gastrointestinal liver,suspected
17606-31-4,"Benzenesulfonothioic acid, S,S'-[2-(dimethylamino))-1,3-propanediyl] ester",RTECS,cardiovascular blood,suspected
17606-31-4,"Benzenesulfonothioic acid, S,S'-[2-(dimethylamino))-1,3-propanediyl] ester",RTECS,gastrointestinal liver,suspected
17606-31-4,"Benzenesulfonothioic acid, S,S'-[2-(dimethylamino))-1,3-propanediyl] ester",RTECS,kidney,suspected
1762-95-4,AMMONIUM THIOCYANATE,RTECS,gastrointestinal liver,suspected
1762-95-4,AMMONIUM THIOCYANATE,RTECS,neurotoxicity,suspected
17637-99-9,PD-107,P65-MC,cancer,recognized
17702-41-9,DECABORANE(14),"DAN, HAZMAP, RTECS",neurotoxicity,suspected
17702-41-9,DECABORANE(14),RTECS,respiratory,suspected
17754-90-4,"BENZALDEHYDE, 4-(DIETHYLAMINO)-2-HYDROXY-",RTECS,neurotoxicity,suspected
1779-48-2,BENZENEPHOSPHINIC ACID,RTECS,skin sense,suspected
17796-82-6,"1H-ISOINDOLE-1,3(2H)-DIONE, 2-(CYCLOHEXYLTHIO)-",RTECS,neurotoxicity,suspected
17804-35-2,BENOMYL,"EPA-SDWA, IL-EPA, JNIHS, KEIT",endocrine,suspected
17804-35-2,BENOMYL,HAZMAP,immunotoxicity,suspected
17804-35-2,BENOMYL,HAZMAP,skin sense,suspected
17804-35-2,BENOMYL,MASL,neurotoxicity,suspected
17804-35-2,BENOMYL,OPP-CAN,cancer,suspected
17804-35-2,BENOMYL,P65,developmental,recognized
17804-35-2,BENOMYL,P65,reproductive,recognized
17804-35-2,BENOMYL,RTECS,cardiovascular blood,suspected
17804-35-2,BENOMYL,RTECS,gastrointestinal liver,suspected
17924-92-4,ZEARALENONE,P65-PEND,developmental,suspected
17924-92-4,ZEARALENONE,P65-PEND,reproductive,suspected
17924-92-4,ZEARALENONE,RTECS,musculoskeletal,suspected
17976-43-1,CYCLO-DI-:-OXO(:-PHTHALATO)TRILEAD,P65-MC,cancer,recognized
17976-43-1,CYCLO-DI-:-OXO(:-PHTHALATO)TRILEAD,P65-MC,developmental,recognized
17976-43-1,CYCLO-DI-:-OXO(:-PHTHALATO)TRILEAD,P65-MC,reproductive,recognized
1806-26-4,1-(P-HYDROXYPHENYL)OCTANE,"IL-EPA, JNIHS",endocrine,suspected
1825-21-4,PENTACHLOROANISOLE,CPDB,cancer,suspected
1825-21-4,PENTACHLOROANISOLE,RTECS,endocrine,suspected
1825-21-4,PENTACHLOROANISOLE,RTECS,gastrointestinal liver,suspected
1825-21-4,PENTACHLOROANISOLE,RTECS,kidney,suspected
18259-05-7,"2,3,4,5,6-PENTACHLOROBIPHENYL (PCB-116)",P65-MC,cancer,recognized
18259-05-7,"2,3,4,5,6-PENTACHLOROBIPHENYL (PCB-116)",P65-MC,developmental,recognized
18287-75-7,I-122,P65-MC,cancer,recognized
1836-75-5,NITROFEN,EPA-SARA,reproductive,suspected
1836-75-5,NITROFEN,"EPA-SARA, JANK",developmental,suspected
1836-75-5,NITROFEN,"EPA-SARA, RTECS",neurotoxicity,suspected
1836-75-5,NITROFEN,"EPA-SDWA, JNIHS, KEIT, WWF",endocrine,suspected
1836-75-5,NITROFEN,P65,cancer,recognized
1836-75-5,NITROFEN,RTECS,cardiovascular blood,suspected
1836-75-5,NITROFEN,RTECS,gastrointestinal liver,suspected
1836-75-5,NITROFEN,RTECS,respiratory,suspected
18378-89-7,PLICAMYCIN,P65,developmental,recognized
18378-89-7,PLICAMYCIN,RTECS,cardiovascular blood,suspected
18454-12-1,LEAD CHROMATE OXIDE,P65-MC,cancer,recognized
18454-12-1,LEAD CHROMATE OXIDE,P65-MC,developmental,recognized
18454-12-1,LEAD CHROMATE OXIDE,P65-MC,reproductive,recognized
18496-04-3,NB-97,P65-MC,cancer,recognized
18496-04-3(m),NB-97M,P65-MC,cancer,recognized
18540-29-9,CHROMIUM (VI) COMPOUNDS,"ATSDR, EPA-HEN, OEHHA-CREL",respiratory,suspected
18540-29-9,CHROMIUM (VI) COMPOUNDS,P65,cancer,recognized
18559-94-9,ALBUTEROL,P65-CAND,developmental,suspected
18559-94-9,ALBUTEROL,RTECS,cardiovascular blood,suspected
18559-94-9,ALBUTEROL,RTECS,gastrointestinal liver,suspected
18559-94-9,ALBUTEROL,RTECS,neurotoxicity,suspected
1861-32-1,DIMETHYL TETRACHLOROTEREPHTHALATE,OPP-CAN,cancer,suspected
1861-40-1,BENFLURALIN,EPA-TRI,cardiovascular blood,suspected
1863-63-4,ammonium benzoate,RTECS,neurotoxicity,suspected
18662-53-8,"NITRILOTRIACETIC ACID, TRISODIUM SALT MONOHYDRATE",P65,cancer,recognized
18662-53-8,"NITRILOTRIACETIC ACID, TRISODIUM SALT MONOHYDRATE",RTECS,kidney,suspected
1879-09-0,"Phenol, 2-(1,1-dimethylethyl)-4,6-dimethyl-",RTECS,neurotoxicity,suspected
1879-09-0,"Phenol, 2-(1,1-dimethylethyl)-4,6-dimethyl-",RTECS,respiratory,suspected
1888-71-7,"1,1,2,3,3,3-HEXACHLORO-1-PROPENE",RTECS,neurotoxicity,suspected
1888-71-7,"1,1,2,3,3,3-HEXACHLORO-1-PROPENE",RTECS,respiratory,suspected
18883-66-4,STREPTOZOTOCIN,LU,skin sense,suspected
18883-66-4,STREPTOZOTOCIN,MERCK,kidney,suspected
18883-66-4,STREPTOZOTOCIN,P65,cancer,recognized
18883-66-4,STREPTOZOTOCIN,P65,developmental,recognized
18883-66-4,STREPTOZOTOCIN,P65,reproductive,recognized
189-55-9,"DIBENZO[A,I]PYRENE",P65,cancer,recognized
189-64-0,"DIBENZO[A,H]PYRENE",P65,cancer,recognized
1897-45-6,CHLOROTHALONIL,EPA-SARA,neurotoxicity,suspected
1897-45-6,CHLOROTHALONIL,HAZMAP,immunotoxicity,suspected
1897-45-6,CHLOROTHALONIL,HAZMAP,respiratory,suspected
1897-45-6,CHLOROTHALONIL,HAZMAP,skin sense,suspected
1897-45-6,CHLOROTHALONIL,P65,cancer,recognized
19044-88-3,ORYZALIN,EPA-TRI,cardiovascular blood,suspected
19044-88-3,ORYZALIN,EPA-TRI,gastrointestinal liver,suspected
19044-88-3,ORYZALIN,"IRIS, OPP-CAN",cancer,suspected
19044-88-3,ORYZALIN,JNIHS,endocrine,suspected
19089-85-1,4-Hydroxybenzenediazonium and its salts,P65-CAND,cancer,suspected
191-30-0,"DIBENZO[A,L]PYRENE",P65,cancer,recognized
1910-42-5,PARAQUAT,"DAN, RTECS",neurotoxicity,suspected
1910-42-5,PARAQUAT,"DOSS, MALA, RTECS, ZIMM",gastrointestinal liver,suspected
1910-42-5,PARAQUAT,"EPA-TRI, FOTH, HAZMAP, RTECS",respiratory,suspected
1910-42-5,PARAQUAT,FRAZIER,reproductive,suspected
1910-42-5,PARAQUAT,HAZMAP,skin sense,suspected
1910-42-5,PARAQUAT,"HAZMAP, KLAA, MERCK, RTECS, STAC",kidney,suspected
1910-42-5,PARAQUAT,IRIS,cancer,suspected
1910-42-5,PARAQUAT,KLAA,cardiovascular blood,suspected
1912-24-9,ATRAZINE,"ATSDR, JANK",reproductive,suspected
1912-24-9,ATRAZINE,"BKH, GUIL, IL-EPA, JNIHS, KEIT, WWF",endocrine,suspected
1912-24-9,ATRAZINE,DAN,neurotoxicity,suspected
1912-24-9,ATRAZINE,EEC,immunotoxicity,suspected
1912-24-9,ATRAZINE,"EEC, HAZMAP",skin sense,suspected
1912-24-9,ATRAZINE,"EPA-TRI, NTP-BR, OEHHA-TCD, SCDM",cancer,suspected
1912-24-9,ATRAZINE,RTECS,gastrointestinal liver,suspected
1918-00-9,DICAMBA,EPA-TRI,developmental,suspected
1918-00-9,DICAMBA,FRAZIER,reproductive,suspected
1918-02-1,PICLORAM,"EPA-TRI, RTECS",gastrointestinal liver,suspected
1918-02-1,PICLORAM,RTECS,endocrine,suspected
1918-16-7,PROPACHLOR,EEC,skin sense,suspected
1918-16-7,PROPACHLOR,"EEC, NAP",immunotoxicity,suspected
1918-16-7,PROPACHLOR,EPA-TRI,developmental,suspected
1918-16-7,PROPACHLOR,P65,cancer,recognized
1918-16-7,PROPACHLOR,RTECS,neurotoxicity,suspected
1918-16-7,PROPACHLOR,RTECS,respiratory,suspected
192-65-4,"DIBENZO[A,E]PYRENE",P65,cancer,recognized
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",EPA-TRI,developmental,suspected
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",EPA-TRI,gastrointestinal liver,suspected
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",EPA-TRI,kidney,suspected
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",EPA-TRI,neurotoxicity,suspected
19287-45-7,DIBORANE,DAN,neurotoxicity,suspected
19287-45-7,DIBORANE,HAZMAP,skin sense,suspected
19287-45-7,DIBORANE,"HAZMAP, RTECS",respiratory,suspected
19287-45-7,DIBORANE,RTECS,cardiovascular blood,suspected
1929-73-3,"2,4-D BUTOXYETHYL ESTER",EPA-TRI,gastrointestinal liver,suspected
1929-73-3,"2,4-D BUTOXYETHYL ESTER",EPA-TRI,kidney,suspected
1929-73-3,"2,4-D BUTOXYETHYL ESTER",EPA-TRI,neurotoxicity,suspected
1929-82-4,NITRAPYRIN,EPA-TRI,gastrointestinal liver,suspected
1929-82-4,NITRAPYRIN,EPA-TRI,kidney,suspected
1929-82-4,NITRAPYRIN,OPP-CAN,cancer,suspected
1929-82-4,NITRAPYRIN,P65,developmental,recognized
193-39-5,"INDENO(1,2,3-CD)PYRENE",P65,cancer,recognized
1934-21-0,1-(4-SULFOPHENYL)-4-((4-SULFOPHENYL)AZO)-1H-PYRAZOLE-3-CARBOXYLIC,RTECS,musculoskeletal,suspected
1934-21-0,1-(4-SULFOPHENYL)-4-((4-SULFOPHENYL)AZO)-1H-PYRAZOLE-3-CARBOXYLIC,RTECS,neurotoxicity,suspected
1937-37-7,DIRECT BLACK 38,P65,cancer,recognized
1937-37-7,DIRECT BLACK 38,RTECS,kidney,suspected
194-59-2,"7H-DIBENZO[C,G]CARBAZOLE",P65,cancer,recognized
19408-74-3,"1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN",IL-EPA,endocrine,suspected
19408-74-3,"1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN",KLAA,skin sense,suspected
19408-74-3,"1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN",P65-MC,cancer,recognized
19485-03-1,1-METHYLTRIMETHYLENE DIACRYLATE,EEC,skin sense,suspected
19485-03-1,1-METHYLTRIMETHYLENE DIACRYLATE,"EEC, SNCI",immunotoxicity,suspected
1951-25-3,AMIODARONE,"KLAA, RTECS",cardiovascular blood,suspected
1951-25-3,AMIODARONE,"KLAA, RTECS",skin sense,suspected
1951-25-3,AMIODARONE,RTECS,endocrine,suspected
1951-25-3,AMIODARONE,RTECS,gastrointestinal liver,suspected
1951-25-3,AMIODARONE,RTECS,neurotoxicity,suspected
1951-25-3,AMIODARONE,RTECS,respiratory,suspected
1955-45-9,pivalolactone,P65-CAND,cancer,suspected
19624-22-7,PENTABORANE,"DAN, HAZMAP, RTECS",neurotoxicity,suspected
19666-30-9,OXYDIAZON,EPA-TRI,gastrointestinal liver,suspected
19666-30-9,OXYDIAZON,EPA-TRI,kidney,suspected
19666-30-9,OXYDIAZON,P65,cancer,recognized
19666-30-9,OXYDIAZON,P65,developmental,recognized
19774-82-4,AMIODARONE HYDROCHLORIDE,P65,developmental,recognized
19774-82-4,AMIODARONE HYDROCHLORIDE,P65,reproductive,recognized
19774-82-4,AMIODARONE HYDROCHLORIDE,RTECS,cardiovascular blood,suspected
19774-82-4,AMIODARONE HYDROCHLORIDE,RTECS,endocrine,suspected
19774-82-4,AMIODARONE HYDROCHLORIDE,RTECS,respiratory,suspected
19774-82-4,AMIODARONE HYDROCHLORIDE,RTECS,skin sense,suspected
1982-67-8,METHIONINE SULFOXIMINE,LU,skin sense,suspected
1982-69-0,SODIUM DICAMBA,EPA-TRI,developmental,suspected
1983-10-4,TRIBUTYLTIN FLUORIDE,BKH,endocrine,suspected
19937-59-8,"Urea, N,N-dimethyl-N'-(3-chloro-4-methoxyphenyl)-",RTECS,cardiovascular blood,suspected
19937-59-8,"Urea, N,N-dimethyl-N'-(3-chloro-4-methoxyphenyl)-",RTECS,endocrine,suspected
2001-95-8,VALINOMYCIN,RTECS,neurotoxicity,suspected
2008-41-5,BUTYLATE,DPR-CIP,neurotoxicity,suspected
20265-96-7,P-CHLOROANILINE.HCL,P65,cancer,recognized
20265-96-7,P-CHLOROANILINE.HCL,RTECS,cardiovascular blood,suspected
20265-96-7,P-CHLOROANILINE.HCL,RTECS,endocrine,suspected
2032-65-7,MERCAPTODIMETHUR,"DPR-CIP, MASL",neurotoxicity,suspected
20325-40-0,"3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE",P65,cancer,recognized
20325-40-0,"3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE",RTECS,gastrointestinal liver,suspected
20325-40-0,"3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE",RTECS,skin sense,suspected
20354-26-1,METHAZOLE,P65,developmental,recognized
205-82-3,BENZO[J]FLUORANTHENE,P65,cancer,recognized
205-99-2,BENZO(B)FLUORANTHENE,P65,cancer,recognized
2050-67-1,"3,3'-DICHLOROBIPHENYL (PCB-11)",P65-MC,cancer,recognized
2050-67-1,"3,3'-DICHLOROBIPHENYL (PCB-11)",P65-MC,developmental,recognized
2050-68-2,"4,4'-DICHLOROBIPHENYL (PCB-15)",P65-MC,cancer,recognized
2050-68-2,"4,4'-DICHLOROBIPHENYL (PCB-15)",P65-MC,developmental,recognized
2051-24-3,"2,2',3,3',4,4',5,5',6,6'-DECACHLOROBIPHENYL (PCB-209)",P65-MC,cancer,recognized
2051-24-3,"2,2',3,3',4,4',5,5',6,6'-DECACHLOROBIPHENYL (PCB-209)",P65-MC,developmental,recognized
2051-60-7,2-CHLOROBIPHENYL (PCB-1),P65-MC,cancer,recognized
2051-60-7,2-CHLOROBIPHENYL (PCB-1),P65-MC,developmental,recognized
2051-61-8,3-CHLOROBIPHENYL (PCB-2),P65-MC,cancer,recognized
2051-61-8,3-CHLOROBIPHENYL (PCB-2),P65-MC,developmental,recognized
2051-62-9,4-CHLOROBIPHENYL (PCB-3),P65-MC,cancer,recognized
2051-62-9,4-CHLOROBIPHENYL (PCB-3),P65-MC,developmental,recognized
2051-79-8,CD-2,HAZMAP,immunotoxicity,suspected
2051-79-8,CD-2,HAZMAP,skin sense,suspected
2058-46-0,OXYTETRACYCLINE HYDROCHLORIDE (INTERNAL USE),P65,developmental,recognized
206-44-0,FLUORANTHENE,ATSDR,gastrointestinal liver,suspected
2062-78-4,pimozide,P65,developmental,recognized
2062-78-4,pimozide,P65,reproductive,recognized
2062-78-4,pimozide,RTECS,kidney,suspected
2062-78-4,pimozide,RTECS,neurotoxicity,suspected
2068-78-2,VINCRISTINE SULFATE,P65,developmental,recognized
207-08-9,BENZO(K)FLUORANTHENE,P65,cancer,recognized
2079-89-2,BAPN FUMARATE,JANK,developmental,suspected
208-96-8,ACENAPHTHYLENE,RTECS,respiratory,suspected
20816-12-0,OSMIUM OXIDE OSO4 (T-4),"HAZMAP, LU, RTECS",respiratory,suspected
20816-12-0,OSMIUM OXIDE OSO4 (T-4),RTECS,skin sense,suspected
2082-81-7,"1,4-Butanediol dimethacrylate",HAZMAP,immunotoxicity,suspected
2082-81-7,"1,4-Butanediol dimethacrylate",HAZMAP,skin sense,suspected
20830-75-5,DIGOXIN,RTECS,cardiovascular blood,suspected
20830-75-5,DIGOXIN,RTECS,gastrointestinal liver,suspected
20830-75-5,DIGOXIN,RTECS,neurotoxicity,suspected
20830-75-5,DIGOXIN,RTECS,skin sense,suspected
20830-81-3,DAUNOMYCIN,MERCK,kidney,suspected
20830-81-3,DAUNOMYCIN,P65,cancer,recognized
20830-81-3,DAUNOMYCIN,RTECS,cardiovascular blood,suspected
20859-73-8,ALUMINUM PHOSPHIDE,RTECS,cardiovascular blood,suspected
20859-73-8,ALUMINUM PHOSPHIDE,RTECS,gastrointestinal liver,suspected
20859-73-8,ALUMINUM PHOSPHIDE,RTECS,kidney,suspected
20859-73-8,ALUMINUM PHOSPHIDE,RTECS,neurotoxicity,suspected
20859-73-8,ALUMINUM PHOSPHIDE,RTECS,respiratory,suspected
2092-56-0,D & C RED NO. 8,P65,cancer,recognized
2094-99-7,"Benzene, 1-(1-isocyanato-1-methylethyl)-3-(1-methylethyl)-",RTECS,gastrointestinal liver,suspected
2104-64-5,EPN,"DAN, HAZMAP, RTECS",neurotoxicity,suspected
2104-64-5,EPN,RTECS,cardiovascular blood,suspected
2104-96-3,"4-BROMO-2,5-DICHLOROPHENYL DIMETHYL PHOSPHOROTHIONATE",RTECS,gastrointestinal liver,suspected
2104-96-3,"4-BROMO-2,5-DICHLOROPHENYL DIMETHYL PHOSPHOROTHIONATE",RTECS,neurotoxicity,suspected
2104-96-3,"4-BROMO-2,5-DICHLOROPHENYL DIMETHYL PHOSPHOROTHIONATE",RTECS,skin sense,suspected
21087-64-9,METRIBUZIN,EPA-TRI,gastrointestinal liver,suspected
21087-64-9,METRIBUZIN,EPA-TRI,kidney,suspected
21087-64-9,METRIBUZIN,"EPA-TRI, P65-PEND",developmental,suspected
21087-64-9,METRIBUZIN,"JNIHS, KEIT, WWF",endocrine,suspected
21259-20-1,T-2 TOXIN,"KLAA, RTECS",cardiovascular blood,suspected
21259-20-1,T-2 TOXIN,RTECS,endocrine,suspected
21259-20-1,T-2 TOXIN,RTECS,gastrointestinal liver,suspected
21259-20-1,T-2 TOXIN,RTECS,neurotoxicity,suspected
21259-20-1,T-2 TOXIN,RTECS,respiratory,suspected
21259-20-1,T-2 TOXIN,RTECS,skin sense,suspected
21351-79-1,CESIUM HYDROXIDE,HAZMAP,skin sense,suspected
21351-79-1,CESIUM HYDROXIDE,RTECS,neurotoxicity,suspected
2136-99-4,"2,2',3,3',5,5',6,6'-OCTACHLOROBIPHENYL (PCB-202)",P65-MC,cancer,recognized
2136-99-4,"2,2',3,3',5,5',6,6'-OCTACHLOROBIPHENYL (PCB-202)",P65-MC,developmental,recognized
21416-87-5,ICRF-159,P65-CAND,cancer,suspected
21416-87-5,ICRF-159,RTECS,cardiovascular blood,suspected
21416-87-5,ICRF-159,RTECS,gastrointestinal liver,suspected
21436-97-5,"2,4,5-TRIMETHYLANILINE.HCL",CPDB,cancer,suspected
21436-97-5,"2,4,5-TRIMETHYLANILINE.HCL",RTECS,gastrointestinal liver,suspected
2155-70-6,TRIBUTYLTIN METHACRYLATE,BKH,endocrine,suspected
2155-70-6,TRIBUTYLTIN METHACRYLATE,P65,developmental,recognized
2155-70-6,TRIBUTYLTIN METHACRYLATE,RTECS,neurotoxicity,suspected
21564-17-0,TCMTB,OPP-CAN,cancer,suspected
21609-90-5,LEPTOPHOS,"HAZMAP, RTECS",neurotoxicity,suspected
21626-89-1,Diftalone,P65-CAND,cancer,suspected
2163-80-6,MSMA,RTECS,gastrointestinal liver,suspected
2163-80-6,MSMA,RTECS,kidney,suspected
2164-07-0,DIPOTASSIUM ENDOTHALL,EPA-TRI,gastrointestinal liver,suspected
2164-17-2,FLUOMETURON,OPP-CAN,cancer,suspected
2164-17-2,FLUOMETURON,RTECS,cardiovascular blood,suspected
21645-51-2,ALUMINUM HYDRATE WASTES UNDER CLASS 6.1 - TDGR,RTECS,gastrointestinal liver,suspected
21645-51-2,ALUMINUM HYDRATE WASTES UNDER CLASS 6.1 - TDGR,RTECS,musculoskeletal,suspected
21645-51-2,ALUMINUM HYDRATE WASTES UNDER CLASS 6.1 - TDGR,RTECS,neurotoxicity,suspected
21725-46-2,CYANAZINE,"OPP-CAN, SCDM",cancer,suspected
21725-46-2,CYANAZINE,P65,developmental,recognized
21725-46-2,CYANAZINE,RTECS,cardiovascular blood,suspected
21725-46-2,CYANAZINE,RTECS,neurotoxicity,suspected
21725-46-2,CYANAZINE,RTECS,respiratory,suspected
21739-91-3,CYTEMBENA,P65,cancer,recognized
2179-59-1,ALLYL PROPYL DISULFIDE,HAZMAP,immunotoxicity,suspected
2179-59-1,ALLYL PROPYL DISULFIDE,HAZMAP,skin sense,suspected
21794-01-4,RUBRATOXIN B,KLAA,kidney,suspected
218-01-9,CHRYSENE,P65,cancer,recognized
21829-25-4,Nifedipine,P65,developmental,recognized
21829-25-4,Nifedipine,P65,reproductive,recognized
21829-25-4,Nifedipine,RTECS,cardiovascular blood,suspected
21829-25-4,Nifedipine,RTECS,endocrine,suspected
21829-25-4,Nifedipine,RTECS,gastrointestinal liver,suspected
21829-25-4,Nifedipine,RTECS,neurotoxicity,suspected
